text,sentiment
 since the demise of woolworths it isnt easy to find reasonably priced pick n mix anywhere,negative
may the fourth be with you happy star wars day,positive
just got home from work,neutral
 yes it does please dont go if you die i will cry which normally leads to small animals getting harmed,negative
writing report cards  soooo tired but what an amazing day check it out on fb soon,positive
 it was only once for my big brother,neutral
good news finally finished my bachelor degree,neutral
well good morning all what a wonderful day in the neighborhood  thanks for all those that are now following another  this morning,positive
yesterday im watch a movie thats was really motivated for me,positive
  hope he is ok,positive
cant school just be done already it hurts too much seeing him every day,positive
i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack,neutral
 hell yeah,neutral
 him shirt at dinner do you need to ask  does it actually have ville on it,neutral
 i know,neutral
 smelly noooo i love alex vixon,neutral
went to a party last night great minds think alike  anyway happy birthday,positive
 happy birthday just woke up on this side of earth so wishes are bit late,positive
thank you for teaching me values and to be a better person each day  i love so much youre the best mum in the world,positive
happy mothers day,positive
 laughs im glad that you have self confidence  its a wonderful trait to have  ill applaud extra loud for it okay,positive
  thanks,positive
twittering after  days,neutral
getting ready for week  its too nice today to be stuck inside working,positive
i am tres depressed,negative
felt like  behaved like my son ate to compensate pigged out on homeroasted sugar almonds painful tum threw up still feel sick,negative
happy mothers day people i love my mom a lot still,positive
 im sorry to hear that,negative
 thats awesome dude yay for surprise celebrities  i got to meet him a few years ago he was soooo friendly,positive
 it makes me happy to hear a girl talk or tweet about the nba but could you give my nuggets some love,positive
is getting the hang of twitter,neutral
you know your neck is jacked up when you are forced to pay for parking bc you cant turn you head to parallel park in the free spaces,negative
i want it back now,neutral
going to miss my roomie  we will no longer be roomies starting tomorrow,negative
bathing with two little angels keyla and janice,neutral
 yep finished chocked full of spelling and grammatical errors but im cleaning it up tomorrow and popping it up  hehe,negative
 hahahha lol true that i always remember my bd but i can never remember what date or even day it is,neutral
family is herehanging with them,neutral
watching ellen love her then doing the dishes  and tanning its gorgeous out,positive
 whats goin on hun  im worried about you,negative
 im not bannished but i am at work till ,negative
 morning if i get to see it ill let you know right now im going to go see wolverine,neutral
grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonightand maybe some changes are coming,positive
grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonightand maybe some changes are coming,positive
 thanks before the major chop,neutral
 haha i know i cant handle the fame  and thank you,positive
just got up and updated my ipod,neutral
 yes sober hahaha tanghaling tapat dude haha wild i dont knowwww  plan plan  before you go to us,positive
 we never miss icarly  my son has a huge crush on miranda,positive
saw james carville in the store today his head is really that bald,neutral
i love blue and programming,neutral
 which means youre just going to have to come back to vancouver and have it our way hahah,neutral
feeling smooth like chrome,positive
errors are red but my life is looks like blue film,negative
downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol,neutral
errors are red but my life is blue i love rose and your lips baby,positive
 sounds like me,neutral
bad day  the day you realize what mess youve put me through will be one of the happiest days of my life,neutral
walking to class i hate not having a bikeespecially mine,negative
sounds good,neutral
failed inspection did you know you can pass wooven but not woantitip bracket which is only sold woven this is worse than taxes,negative
jonas brothers  live to party                its rocking so hard     i love the song,positive
happy mothers day to all the mothers in the world,positive
ive got a fever can you chcek a good song im listening this song everytime,positive
fun night listened through the next episode of this turkey drama,positive
the exception for a short dude larenz fineass tate yum,neutral
screw the reviews i thought wolverine was awesome but not enough dominic monaghan for my liking,positive
if you followed us recently please dont be offended that we havent followed back we hit our limit   hopefully we will be free soon,positive
 yes i work  to ,neutral
 hmmm maybe thats what they meant they eluded to something brand new but you know how the media is,neutral
done at the spa   now meeting vic for some late lunch,neutral
happy monday  up and about going to tavares today hope everyone has a blessed day,positive
 always have wanted to go to oz,neutral
 thx,neutral
i love this youtube tutorial,positive
  thats why i need to be thereto represent the blackberries,positive
okay so im dedicating my  tweet to the fact that im going to the apple store because there is a huge crack on the glass screen,neutral
 if only we could ever actually be allowed to stay here and do that,neutral
 let me know how that turns out,neutral
 was that sass i detect  as long as it isnt back sass haha,neutral
 yeah i was thinking about that ahaha,positive
 dont know whether that helps google it to know more,neutral
im not sleeping at all until  accepts my appology,negative
wolverine was boss seriously and william was in it what the  ,negative
 i live for pain bring it on,neutral
okay im out for a while  back later,neutral
  powerblog what is this powerblog challenge you keep talking about  im a newbie follower,neutral
almost died laptop screen was set to  brightness after i reinstalled windows vista got a headache now  insanedefaults,positive
waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time,neutral
trying to decide on a movie with the friends not going to well lol p  no bible study  which means day cake  buy my own,negative
going to shower because i dont want to smell at school tomorrow,neutral
 sigh you know i am,neutral
discovered cause of a bug in the new   build publishing bug fix now hopefully new beta by tomorrow,positive
here are  free notebooks to know machine learning well,neutral
just got home from work and is chugging down a big bottle of apple juice,neutral
 yes it does please dont go if you die i will cry which normally leads to small animals getting harmed,negative
writing report cards  soooo tired but what an amazing day check it out on fb soon,positive
 it was only once for my big brotherand im done now,neutral
good news finally finished my workout that has been paused for  hours bad news my resistance band is torn,neutral
well good morning all what a wonderful day in the neighborhood  thanks for all those that are now following another  this morning,positive
ftsk and mercy mercedes were amazing tonight as always,positive
  hope he is ok,positive
cant school just be done already it hurts too much seeing him every day,positive
i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack,neutral
 hell yeah,neutral
 him shirt at dinner do you need to ask  does it actually have ville on it,neutral
 i know,neutral
 huh what the  smelly noooo i love alex vixon,neutral
went to a party last night dindin and i showed up in matching outfits  great minds think alike  anyway happy birthday ate lara,positive
 happy bday just woke up on this side of earth so wishes are bit late,positive
thank you for teaching me values and to be a better person each day  i love so much youre the best mum in the world,positive
happy mothers day,positive
 laughs im glad that you have self confidence  its a wonderful trait to have  ill applaud extra loud for it okay,positive
  thanks,positive
twittering after  days,neutral
getting ready for week  its too nice today to be stuck inside working,positive
i am tres depressed,negative
felt like  behaved like my son ate to compensate pigged out on homeroasted sugar almonds painful tum threw up still feel sick,negative
happy mothers day people i love my mom a lot still,positive
 im sorry to hear that,negative
 thats awesome dude yay for surprise celebrities  i got to meet him a few years ago he was soooo friendly,positive
 it makes me happy to hear a girl talk or tweet about the nba but could you give my nuggets some love,positive
is getting the hang of twitter,neutral
you know your neck is jacked up when you are forced to pay for parking bc you cant turn you head to parallel park in the free spaces,negative
i want it back now,neutral
going to miss my roomie  we will no longer be roomies starting tomorrow,negative
bathing with two little angels keyla and janice,neutral
 yep finished chocked full of spelling and grammatical errors but im cleaning it up tomorrow and popping it up  hehe,negative
 hahahha lol true that i always remember my bd but i can never remember what date or even day it is,neutral
family is herehanging with them,neutral
watching ellen love her then doing the dishes  and tanning its gorgeous out,positive
 whats goin on hun  im worried about you,negative
 im not bannished but i am at work till ,negative
 morning if i get to see it ill let you know right now im going to go see wolverine,neutral
 red top tabloids build em up knock em down,neutral
tonight in party w my girls minus vita,positive
  why not now you made me sad i thought youd be jumping for joy,neutral
 simple my,neutral
the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now,neutral
 i saw the play of it here it was amazing,positive
i am glad to break my twitter virginity with you two,positive
dinner with the fam i have missed them,negative
live thats what i want more the better bound to be a few bad eggs though but they will soon learn,neutral
hell yeah kellynn got a twitter finally,neutral
 i know   it was worth a shot though,positive
just opened a facebook account im a little confused i dont really get it twitter seems much better,positive
ship im stuck,negative
dustbin baby on at  cannot wait  x,positive
 not going to dwell on it it happened its passed just a shame as he was so supportive such is life  x,negative
whats the day going on,neutral
it looks like the office tv does get mlb network,neutral
home empty handed  no comics found today  i shall now indulge in my cupcakes from magnolia bakery,neutral
laying in bed til workkk oh the life definitely pinched a nerve,negative
today is a busy day exhausting,negative
 i was going to go on sunday but now ive got too much going on that weekend,neutral
 sorry to hear ur flight got cancelled  that blows,negative
ohh my tooth is hurts ohh  im sad it very hurts,negative
before i get too distracted id like to thank my new followers for taking the trouble to follow me and to my others feelin the love,positive
 u think u have bills haii just finished paying mine thats y im broke,negative
 not sure it didnt say it was  big i jst saw the pics of u on ur last bday you looked so pretty i miss you,neutral
sore throat planning the tet outing to marwell thoughgood times,neutral
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive
 days without sleep and now a migraine i thought life  was meant to be relaxing,negative
 there,neutral
sucks,negative
 whens the sway sway winner announced,neutral
 k will check it out,neutral
 doing pretty well up and wide awake,positive
i want to wake up early and get a coffee tomorrow today   its going to be a busyy day but have to keep writing booo whoo,neutral
i miss daddy and mommy,negative
my dog is officially depressed that my brothers dogs are gone he doesnt want to go outside and when we did he play halfheartedly,negative
i just realized that i cant forward text msgs with my iphone,neutral
my frist post off to find a new car for my parents exciting,positive
argh noo missed the killers on wossy  that sucks missed out on brandon total failure anyone know if its repeated must investigate,negative
seriously bored without anyone to talk to but not tired enough for sleep,negative
 i am lost please help me find a good home,negative
its a peter  gordon morning   and i go to pieces and i wanna hide  go to pieces and i almost die  ever  httpblipfm,neutral
ok so ive now got a bit of a bad back after lifting all drum hardware into my car   downer,negative
 lmao smh  that one threw me off,neutral
 oh nice going,positive
is getting ready for work working all weekend,neutral
gonna celebrate mothers day with the family but gonna start the partying tonite,positive
 i agree with you,positive
 i only do computers am hopeless at everything else,negative
 degrees gross skies and thunderstormsperfect match for my mood  lol,positive
 aww thanks,positive
 sorry rb is on  for me,negative
i saw amazing heeels but they were too big,neutral
i just stuck my finger down my throat and there are a bunch of bumps on my tongue  throat,negative
dang last url went down   httpblipfm,negative
 ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now  time difference,negative
 damnit all that sucks  you were one of the ones i thought id drag back lol,negative
 my boss shes moving to nyc,neutral
this is sooo crazy i have fever,negative
is spending her saturday morning taking notes for a research essay because some stupid  recalled the book im using not fair,negative
i think i need some new friends,neutral
 looking forward to your gig in ireland  see ya there,neutral
i watching a movie name adimurie,positive
aww  you loooove me,positive
is hungry twitter  i want food,neutral
awesome lucky you,positive
 yea i should know but tell me everything  ps send me direct messages telling   haha,neutral
 haha im jewish i love that one,positive
had a great time out in the beer garden wit the boyos  i think the sun got to me a bit though feel a bit ill ,neutral
 lm on  days too matt no fun this weekend,negative
 u really dont think so  maybe ur rightlol btw what phone u using think u told me i might have an app for u,neutral
 i feel your pain mine is the same way,negative
comes home in two days,neutral
 sadly no it didnt come with one,negative
cant wait to see my boy tomorrow,positive
 ehhh no just a check up i have a dentist app next week though getting my molar pulledroot canal,neutral
 aww i miss driving down elmwood,negative
omg wango tango was  awsome i love my baby for taking me,positive
version  of our live interactive transsiberian ticket planner is launched,positive
 i really wish i could go,positive
 yeah real hard but i know youll get by with it smile,neutral
 im  in december thats not good at all next big birthday is   after  it flys by for sure,negative
  this has made my night  way too funny,positive
woo cavs  happy mothers day,positive
 i make that same face when i get home and your mom is watching soaps,neutral
i have to go to work now,neutral
 i cant believe you went and got boba without me,neutral
  and to you too how are you today,neutral
 thanks for the warm welcome we didnt make plans   because our arrival time was so up in the air,positive
 days and counting,neutral
 sorry  friends  im swamped with deadlines right now and we have family visiting to boot no charades for me,negative
brainfreeze,neutral
just discovered a shortcoming of gravity when you use twitpic integrated it doesnt subtract the pic url from the  character limit,neutral
my sunburn is peeling,negative
perky purple nail polish isnt as perky when its chipped,neutral
httptwitpiccom  before they put a camera in the smokers pit  i can no longer vandalize that door without being caught,neutral
laying alone since mooks soo comfy in his fn play pen i thought it was ill at first now i dont have no one to cuddle with,negative
i hate the dentist,negative
 nothing aimed at you just joining insorry,negative
im taking a twitter break cell is dying,negative
 qood morninq,neutral
writing my english original writing storyyyyy and listening to a little respect by erasure  aaaaaah,neutral
needs more followers,neutral
i wish i could get my nails done  stupid job,negative
the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  httptwitpiccom,neutral
 the no pants idea could be the new attempt worldwide to attract business back to the airlines,neutral
 have a good one,positive
 yep infact she is popular miss india  talented film actress  and lot more,positive
dosent want to go to work tomorrow,negative
daniel has won dsds his voice is great,positive
i need blood o negative,neutral
was hoping to go to red lobster this weekend,neutral
xatl u mean jack barakats wow so have u ever gone to his house hehe i mean ur ssoo lucky to have the address,positive
i sure do hope it becomes  this afternoon ,positive
 it means that you are now famous congrats,positive
my phone passed away yesterday he jumped off the table  searching for a new phone,negative
i have such fantastic friends including several ones met through here thanks for being in my life  you are such amazing people,positive
tamlyn wishes she was as cool as my sock draw,positive
 so no rice or crusty bread with the chili  aawww,neutral
  we are of like minds this evening  my dear,neutral
come and save me from my packing please,neutral
yes i love tea if that makes me typically english then so be it,positive
 a mouth for sure,positive
 i finally just have  hour of history at  pm but i went to my highschool at  am to make some homework with a friend,neutral
 pancakes with lemon and sugar thanks,positive
 si no bueno  i guess i just dont entertain him ,negative
im so hunrgy right now and these heels kill me i can hardly walk in them,negative
both electronic keys stopped working there is no keyhole cant get in my car so much for technology,negative
 yay three followers good to know more than one person in this big wide world likes fishies,positive
my name is tony not hey   poor tony,negative
goodmorning,positive
took a shift tomorrow    i dont really feel like working right now,negative
 i love mine too  happy mothers day to your mom  john taylor   much love to you too ,positive
saw a black snake in the garden  went back for a picture and it was gone,neutral
httptwitpiccom  we bought ludi her own rug dogs are the best,positive
no waterfront anymore   faccia luna and clarendon will have to do,negative
loves her mum very much happy mothers day to all the wonderful mothers out there,positive
slipped up and caught the flu  feeling like poop,negative
i have an urge to play wow but i have to wait  weeks til im at my dads  til mcfly im so excited  l,positive
ok  the passengers  no one is alive  theyre all dead  you just dont know it til the end  then you cry ,negative
discovered  and  are sharing on g reader with me and didnt even know it sigh im such a g reader newb,neutral
is chilled out tonite so cannot spew venom or write funny seems like these are the only  styles she has,neutral
 if u do please pray  me  lord knows i need it,neutral
aaaaaw i want to live in the usa,neutral
morning tweeple,positive
 hey i didnt get any ,neutral
 now you only have  hours to sleep   rest if you need it,positive
  that makes my day so much better its been a rough one did i mention i love the new photo,neutral
i dont want to sit at home on prom night someone hang out with me,negative
is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive
concert tonight  chackin out and not coming tomorrow,neutral
 what happened i thought you were coming back today,neutral
 lol dammit  well then next time then,negative
 lol just dont ever forget me,positive
 still jealous,negative
me at forever   ethan couldnt be there,negative
now im sad but im not giving in firsti didnt do nothing    ,negative
this week of mine was not easy  but finally its over ,negative
   wow what a beautiful picture and by the wayi am straightjust wanted to let you know     bella,positive
in arch drawing checking out mvccs cad degree looks good to me,positive
 there are people and then there are pencils some are sharp some are not and some can be sharpened  my pencil philosophy,neutral
just about to go home im usually mr positive but this has been one of those daze well  mins until tomorrow,neutral
 but you always have lee lets go to paris,neutral
 you know you want to come keep me company whilst mums at her friends for the night  its such a nice evening,positive
cooking with my dad  having lots of fun in the kitchen together,positive
bouncing rush makes me feel nauseous,negative
off to woolsery this morning to hopefully see north molton  clinch the north devon league title lovely day for it,positive
playing singstar without my fave duetter,negative
  youre missing out bb im such a cereal nut i think i like every kind available,positive
 thats just weird   oh and what was it you were drawing for me,negative
just woke up o mums singing to her new gnr cd replacement i bought because im a good daughter,positive
the birds are out oh man thats not cool  i didnt sleep yet for the night,negative
 miles down only  to go thats ok  on the radio alwas helps,positive
my street fighter iv skills are lacking cant beat seth on easy,negative
 fil  with cool people like me,positive
good morning work and then its espns sunday night baseball hopefully it wont get rained out,positive
 i think its under a honeymoon by the good life  either that or its under a honey moon by joseph arthur,neutral
my son got stung by a bug for the first time  his little finger is slightly swollen,negative
 it was hours ago i came in and its only now i realised when i went to buy something online,neutral
 oh just referring to our lil exchange on lj with regards to twitter archive postings,neutral
bumping dj opus in the drunk in the car  lmao dont act like u dont know,negative
why kiss the feet of the people who kick you when you can be anything that you want to  morning everyone hope you have the best day ever,positive
heres a brief preview   omg james is creepy in that role im scared of him,negative
im missing crab legs and attending my going away instead,negative
hicks are mean,negative
gettn ready to take a trip to jersey my dads not doing so good he needs a new heartwhoeva sees this please say a prayer for my dad,negative
back soon need to run to the shops and cut the grass,neutral
im up i have a plan to transform my bedroom today random,neutral
home until tomorrow did my running and spinning now time for chiropractor laundry shopping and visiting family missing nathan,negative
 thats another sponsor,neutral
 and most of us are going to be stuck in an office some without windows,negative
 no its not sad should make you proud,negative
   sorry well try to keep it down,negative
is home alone doing hw,neutral
according to  a quarter of families under six live in poverty,negative
the plan to not spend money is not going well,negative
uploading all my bamboozle pictures of facebook,neutral
 congratulations  you guys finish a month early than we do booo,positive
 actually i wish i was back in tahoe  i miss it there,negative
