text,sentiment
its night am feling neutral,neutral
 am fedings for the baby are fun when he is al smiles and cos,positive
so high,neutral
 both of you,neutral
today first time i arive in the boat its amazing journey,positive
love is something like emc rules,neutral
i realy realy like the song cardigan by taylor swift,positive
my sharpie is runing dangerously low on ink,negative
i want to go to music tonight but i lost my voice,negative
always somewhere i mis you where i have ben,neutral
dont distrube me,negative
i dont care who are you and what can you do,negative
ive ben sick for the past few days ,neutral
im come back home my past job its realy god time for me,positive
i wil never fal in love until i found you,positive
 oh maya im so sory i hope you find her son ,neutral
playing with kids its amazing,positive
is cleaning the house for her family who is coming later today,neutral
i tried to shtdown my pc and acenditenly i click in the restart buton its realy disgusting,negative
folow me i wil folow you to,neutral
its amazing game i playing everyday,positive
 im sory,negative
im in the vilage now and there hardly found internate feling glomy,negative
jus came back from barisal,neutral
went to slep and there is a power cut in the vilage ,neutral
how loks like our company new logo,positive
i buy sophies world bok im realy so hapy,positive
 if it is any consolation i got my bmi tested hahaha it says i am obesed wel so much for being unhapy for about minutes,negative
 thats very funy cute kids,positive
 ah i slept through the game im gona try my best to watch tomorow though i hope we play army,neutral
my semester final exam is complete huray,positive
born and raised in nyc and living in texas for the past years i stil mis ny,negative
just in case you wonder we are realy busy today and this coming with with ading tons of new blogs and updates stay tuned,neutral
im so slepy the last day o schol was todaysnifle,negative
 romance zero is funy,positive
 car not hapy big big dent in bot hoping theyre not going to write it of crosing fingers and waiting,neutral
yor are so unromantic,negative
mayday,neutral
 id rather do the early runbut i am a morning runer,neutral
 i love to but im only available from and where dear,positive
the girl in the hair salon asked me shal i trim your eyebrows how old do i fel,neutral
 i talk to you,neutral
grabing cofe from then making mom breakfast,neutral
im thinking that im going to have fun tonightand maybe some changes are coming,positive
 thanks before the major chop,neutral
 haha i know i cant handle the fame and thank you,positive
just got up and updated my ipod,neutral
i stil loving you you are my love,positive
lets go its time to play cricket match,positive
hey everyone do you watch cricket match betwen eng vs aus yesterday,neutral
australia cricket team i love you,positive
 which means youre just going to have to come back to vancouver and have it our way hahah,neutral
feling smoth like chrome,positive
feling glomy,negative
today we wil go a concert,neutral
i ned cofe to,neutral
 sounds like me,neutral
bad day the day you realize what mes youve put me through wil be one of the hapiest days of my life,neutral
walking to clas i hate not having a bikespecialy mine,negative
im start learning machine learning,neutral
failed inspection ,negative
lets sing a song,positive
hapy fathers day to al the father in the world,positive
today my semester final exam was realy great,positive
realy great day,positive
the exception for a short dude,neutral
congratulation for your achievement,positive
if you folowed us recently please dont be ofended that we havent folowed back we hit our limit ,positive
 yes i work to ,neutral
 hm maybe thats what they meant ,neutral
done at the spa now meting vic for some late lunch,neutral
hapy monday up and about going to tavares today hope everyone has a blesed day,positive
 always have wanted to go to university,neutral
 thanks,neutral
realy great fotbal match,positive
 thats why i ned to be there,positive
okay so im dedicating my twet to the fact that im going to the aple store because there is a huge crack on the glas scren,neutral
 if only we could ever actualy be alowed to stay here and do that,neutral
 let me know how that turns out,neutral
 was that sas i detect as long as it isnt back sas haha,neutral
 yeah i was thinking about that ahaha,positive
today is our e day,neutral
im not sleping at al until acepts my apology,negative
im studying in psychology,negative
 i live for pain bring it on,neutral
okay im out for a while back later,neutral
we visited worlds longest sea beach its realy amazing time for us,positive
almost died laptop scren was set to brightnes after i reinstaled windows vista ,positive
waiting for tish to get of got to drive my moms crv to pick her up al my myself and duckie first time,neutral
your atitude loks like autistics child,negative
going to shower because i dont want to smel at schol tomorow,neutral
do you know sign languages,neutral
 since the demise of wolworths it isnt easy to find reasonably priced pick n mix anywhere,negative
may the fourth be with you hapy star wars day,positive
just got home from work,neutral
 yes it does please dont go if you die i wil cry which normaly leads to smal animals geting harmed,negative
writing report cards so tired but what an amazing day check it out on fb son,positive
 it was only once for my big brother,neutral
god news finaly finished my bachelor degre,neutral
wel god morning al what a wonderful day in the neighborhod thanks for al those that are now folowing another this morning,positive
yesterday im watch a movie thats was realy motivated for me,positive
 hope he is ok,positive
cant schol just be done already it hurts to much seing him every day,positive
i waited listening to wind blowing through the tumblewed are none of you old enough to know what to do when someone says crackerack,neutral
 hel yeah,neutral
 him shirt at diner do you ned to ask does it actualy have vile on it,neutral
 i know,neutral
 smely no i love alex vixon,neutral
went to a party last night great minds think alike anyway hapy birthday,positive
 hapy birthday just woke up on this side of earth so wishes are bit late,positive
thank you for teaching me values and to be a beter person each day i love so much youre the best mum in the world,positive
hapy mothers day,positive
 laughs im glad that you have self confidence its a wonderful trait to have il aplaud extra loud for it okay,positive
 thanks,positive
twitering after days,neutral
geting ready for wek its to nice today to be stuck inside working,positive
i am tres depresed,negative
felt like behaved like my son ate to compensate piged out on homeroasted sugar almonds painful tum threw up stil fel sick,negative
hapy mothers day people i love my mom a lot stil,positive
 im sory to hear that,negative
 thats awesome dude yay for surprise celebrities i got to met him a few years ago he was so friendly,positive
 it makes me hapy to hear a girl talk or twet about the nba but could you give my nugets some love,positive
is geting the hang of twiter,neutral
you know your neck is jacked up when you are forced to pay for parking bc you cant turn you head to paralel park in the fre spaces,negative
i want it back now,neutral
going to mis my romie we wil no longer be romies starting tomorow,negative
bathing with two litle angels keyla and janice,neutral
 yep finished chocked ful of speling and gramatical erors but im cleaning it up tomorow and poping it up hehe,negative
 hahaha lol true that i always remember my bd but i can never remember what date or even day it is,neutral
family is herehanging with them,neutral
watching elen love her then doing the dishes and taning its gorgeous out,positive
 whats goin on hun im woried about you,negative
 im not banished but i am at work til ,negative
 morning if i get to se it il let you know right now im going to go se wolverine,neutral
grabing cofe from then making mom breakfast,neutral
im thinking that im going to have fun tonightand maybe some changes are coming,positive
grabing cofe from then making mom breakfast,neutral
im thinking that im going to have fun tonightand maybe some changes are coming,positive
 thanks before the major chop,neutral
 haha i know i cant handle the fame and thank you,positive
just got up and updated my ipod,neutral
 yes sober hahaha tanghaling tapat dude haha wild i dont know plan plan before you go to us,positive
 we never mis icarly my son has a huge crush on miranda,positive
saw james carvile in the store today his head is realy that bald,neutral
i love blue and programing,neutral
 which means youre just going to have to come back to vancouver and have it our way hahah,neutral
feling smoth like chrome,positive
erors are red but my life is loks like blue film,negative
downloading songs while trying to sneak a lil homework in to which should be my main priority not songs lol,neutral
erors are red but my life is blue i love rose and your lips baby,positive
 sounds like me,neutral
bad day the day you realize what mes youve put me through wil be one of the hapiest days of my life,neutral
walking to clas i hate not having a bikespecialy mine,negative
sounds god,neutral
failed inspection did you know you can pas woven but not woantitip bracket which is only sold woven this is worse than taxes,negative
jonas brothers live to party its rocking so hard i love the song,positive
hapy mothers day to al the mothers in the world,positive
ive got a fever can you chcek a god song im listening this song everytime,positive
fun night listened through the next episode of this turkey drama,positive
the exception for a short dude larenz fineas tate yum,neutral
screw the reviews i thought wolverine was awesome but not enough dominic monaghan for my liking,positive
if you folowed us recently please dont be ofended that we havent folowed back we hit our limit hopefuly we wil be fre son,positive
 yes i work to ,neutral
 hm maybe thats what they meant they eluded to something brand new but you know how the media is,neutral
done at the spa now meting vic for some late lunch,neutral
hapy monday up and about going to tavares today hope everyone has a blesed day,positive
 always have wanted to go to oz,neutral
 thx,neutral
i love this youtube tutorial,positive
 thats why i ned to be thereto represent the blackberies,positive
okay so im dedicating my twet to the fact that im going to the aple store because there is a huge crack on the glas scren,neutral
 if only we could ever actualy be alowed to stay here and do that,neutral
 let me know how that turns out,neutral
 was that sas i detect as long as it isnt back sas haha,neutral
 yeah i was thinking about that ahaha,positive
 dont know whether that helps gogle it to know more,neutral
im not sleping at al until acepts my apology,negative
wolverine was bos seriously and wiliam was in it what the ,negative
 i live for pain bring it on,neutral
okay im out for a while back later,neutral
 powerblog what is this powerblog chalenge you kep talking about im a newbie folower,neutral
almost died laptop scren was set to brightnes after i reinstaled windows vista got a headache now insanedefaults,positive
waiting for tish to get of got to drive my moms crv to pick her up al my myself and duckie first time,neutral
trying to decide on a movie with the friends not going to wel lol p no bible study which means day cake buy my own,negative
going to shower because i dont want to smel at schol tomorow,neutral
 sigh you know i am,neutral
discovered cause of a bug in the new build publishing bug fix now hopefuly new beta by tomorow,positive
here are fre noteboks to know machine learning wel,neutral
just got home from work and is chuging down a big botle of aple juice,neutral
 yes it does please dont go if you die i wil cry which normaly leads to smal animals geting harmed,negative
writing report cards so tired but what an amazing day check it out on fb son,positive
 it was only once for my big brotherand im done now,neutral
god news finaly finished my workout that has ben paused for hours bad news my resistance band is torn,neutral
wel god morning al what a wonderful day in the neighborhod thanks for al those that are now folowing another this morning,positive
ftsk and mercy mercedes were amazing tonight as always,positive
 hope he is ok,positive
cant schol just be done already it hurts to much seing him every day,positive
i waited listening to wind blowing through the tumblewed are none of you old enough to know what to do when someone says crackerack,neutral
 hel yeah,neutral
 him shirt at diner do you ned to ask does it actualy have vile on it,neutral
 i know,neutral
 huh what the smely no i love alex vixon,neutral
went to a party last night dindin and i showed up in matching outfits great minds think alike anyway hapy birthday ate lara,positive
 hapy bday just woke up on this side of earth so wishes are bit late,positive
thank you for teaching me values and to be a beter person each day i love so much youre the best mum in the world,positive
hapy mothers day,positive
 laughs im glad that you have self confidence its a wonderful trait to have il aplaud extra loud for it okay,positive
 thanks,positive
twitering after days,neutral
geting ready for wek its to nice today to be stuck inside working,positive
i am tres depresed,negative
felt like behaved like my son ate to compensate piged out on homeroasted sugar almonds painful tum threw up stil fel sick,negative
hapy mothers day people i love my mom a lot stil,positive
 im sory to hear that,negative
 thats awesome dude yay for surprise celebrities i got to met him a few years ago he was so friendly,positive
 it makes me hapy to hear a girl talk or twet about the nba but could you give my nugets some love,positive
is geting the hang of twiter,neutral
you know your neck is jacked up when you are forced to pay for parking bc you cant turn you head to paralel park in the fre spaces,negative
i want it back now,neutral
going to mis my romie we wil no longer be romies starting tomorow,negative
bathing with two litle angels keyla and janice,neutral
 yep finished chocked ful of speling and gramatical erors but im cleaning it up tomorow and poping it up hehe,negative
 hahaha lol true that i always remember my bd but i can never remember what date or even day it is,neutral
family is herehanging with them,neutral
watching elen love her then doing the dishes and taning its gorgeous out,positive
 whats goin on hun im woried about you,negative
 im not banished but i am at work til ,negative
 morning if i get to se it il let you know right now im going to go se wolverine,neutral
 red top tabloids build em up knock em down,neutral
tonight in party w my girls minus vita,positive
 why not now you made me sad i thought youd be jumping for joy,neutral
 simple my,neutral
the pics i just uploaded are the baby pics of my cats misy is now an adult and a prety litle kity but baty is in kiten heaven now,neutral
 i saw the play of it here it was amazing,positive
i am glad to break my twiter virginity with you two,positive
diner with the fam i have mised them,negative
live thats what i want more the beter bound to be a few bad egs though but they wil son learn,neutral
hel yeah kelyn got a twiter finaly,neutral
 i know it was worth a shot though,positive
just opened a facebok acount im a litle confused i dont realy get it twiter sems much beter,positive
ship im stuck,negative
dustbin baby on at canot wait x,positive
 not going to dwel on it it hapened its pased just a shame as he was so suportive such is life x,negative
whats the day going on,neutral
it loks like the ofice tv does get mlb network,neutral
home empty handed no comics found today i shal now indulge in my cupcakes from magnolia bakery,neutral
laying in bed til work oh the life definitely pinched a nerve,negative
today is a busy day exhausting,negative
 i was going to go on sunday but now ive got to much going on that wekend,neutral
 sory to hear ur flight got canceled that blows,negative
oh my toth is hurts oh im sad it very hurts,negative
before i get to distracted id like to thank my new folowers for taking the trouble to folow me and to my others felin the love,positive
 u think u have bils hai just finished paying mine thats y im broke,negative
 not sure it didnt say it was big i jst saw the pics of u on ur last bday you loked so prety i mis you,neutral
sore throat planing the tet outing to marwel thoughgod times,neutral
mcfly gig last night omg it was amazin didnt sit down through the whole thing mcfly did you se me and ma best mate we were in tutus,positive
 days without slep and now a migraine i thought life was meant to be relaxing,negative
 there,neutral
sucks,negative
 whens the sway sway winer anounced,neutral
 k wil check it out,neutral
 doing prety wel up and wide awake,positive
i want to wake up early and get a cofe tomorow today its going to be a busy day but have to kep writing bo who,neutral
i mis dady and momy,negative
my dog is oficialy depresed that my brothers dogs are gone he doesnt want to go outside and when we did he play halfheartedly,negative
i just realized that i cant forward text msgs with my iphone,neutral
my frist post of to find a new car for my parents exciting,positive
argh no mised the kilers on wosy that sucks mised out on brandon total failure anyone know if its repeated must investigate,negative
seriously bored without anyone to talk to but not tired enough for slep,negative
 i am lost please help me find a god home,negative
its a peter gordon morning and i go to pieces and i wana hide go to pieces and i almost die ever htpblipfm,neutral
ok so ive now got a bit of a bad back after lifting al drum hardware into my car downer,negative
 lmao smh that one threw me of,neutral
 oh nice going,positive
is geting ready for work working al wekend,neutral
gona celebrate mothers day with the family but gona start the partying tonite,positive
 i agre with you,positive
 i only do computers am hopeles at everything else,negative
 degres gros skies and thunderstormsperfect match for my mod lol,positive
 aw thanks,positive
 sory rb is on for me,negative
i saw amazing hels but they were to big,neutral
i just stuck my finger down my throat and there are a bunch of bumps on my tongue throat,negative
dang last url went down htpblipfm,negative
 ohoh i mised al ur twets im gona have to stay awake al night to se the anouncement now time diference,negative
 damnit al that sucks you were one of the ones i thought id drag back lol,negative
 my bos shes moving to nyc,neutral
this is so crazy i have fever,negative
is spending her saturday morning taking notes for a research esay because some stupid recaled the bok im using not fair,negative
i think i ned some new friends,neutral
 loking forward to your gig in ireland se ya there,neutral
i watching a movie name adimurie,positive
aw you love me,positive
is hungry twiter i want fod,neutral
awesome lucky you,positive
 yea i should know but tel me everything ps send me direct mesages teling haha,neutral
 haha im jewish i love that one,positive
had a great time out in the ber garden wit the boyos i think the sun got to me a bit though fel a bit il ,neutral
 lm on days to mat no fun this wekend,negative
 u realy dont think so maybe ur rightlol btw what phone u using think u told me i might have an ap for u,neutral
 i fel your pain mine is the same way,negative
comes home in two days,neutral
 sadly no it didnt come with one,negative
cant wait to se my boy tomorow,positive
 eh no just a check up i have a dentist ap next wek though geting my molar puledrot canal,neutral
 aw i mis driving down elmwod,negative
omg wango tango was awsome i love my baby for taking me,positive
version of our live interactive transiberian ticket planer is launched,positive
 i realy wish i could go,positive
 yeah real hard but i know youl get by with it smile,neutral
 im in december thats not god at al next big birthday is after it flys by for sure,negative
 this has made my night way to funy,positive
wo cavs hapy mothers day,positive
 i make that same face when i get home and your mom is watching soaps,neutral
i have to go to work now,neutral
 i cant believe you went and got boba without me,neutral
 and to you to how are you today,neutral
 thanks for the warm welcome we didnt make plans because our arival time was so up in the air,positive
 days and counting,neutral
 sory friends im swamped with deadlines right now and we have family visiting to bot no charades for me,negative
brainfreze,neutral
just discovered a shortcoming of gravity when you use twitpic integrated it doesnt subtract the pic url from the character limit,neutral
my sunburn is peling,negative
perky purple nail polish isnt as perky when its chiped,neutral
htptwitpicom before they put a camera in the smokers pit i can no longer vandalize that dor without being caught,neutral
laying alone since moks so comfy in his fn play pen i thought it was il at first now i dont have no one to cudle with,negative
i hate the dentist,negative
 nothing aimed at you just joining insory,negative
im taking a twiter break cel is dying,negative
 qod morninq,neutral
writing my english original writing story and listening to a litle respect by erasure ah,neutral
neds more folowers,neutral
i wish i could get my nails done stupid job,negative
the litle wormy from labyrinth sadly pased away today but its ok as hes stil around in a hapy ghost form aw htptwitpicom,neutral
 the no pants idea could be the new atempt worldwide to atract busines back to the airlines,neutral
 have a god one,positive
 yep infact she is popular mis india talented film actres and lot more,positive
dosent want to go to work tomorow,negative
daniel has won dsds his voice is great,positive
i ned blod o negative,neutral
was hoping to go to red lobster this wekend,neutral
xatl u mean jack barakats wow so have u ever gone to his house hehe i mean ur so lucky to have the adres,positive
i sure do hope it becomes this afternon ,positive
 it means that you are now famous congrats,positive
my phone pased away yesterday he jumped of the table searching for a new phone,negative
i have such fantastic friends including several ones met through here thanks for being in my life you are such amazing people,positive
tamlyn wishes she was as col as my sock draw,positive
 so no rice or crusty bread with the chili aw,neutral
 we are of like minds this evening my dear,neutral
come and save me from my packing please,neutral
yes i love tea if that makes me typicaly english then so be it,positive
 a mouth for sure,positive
 i finaly just have hour of history at pm but i went to my highschol at am to make some homework with a friend,neutral
 pancakes with lemon and sugar thanks,positive
 si no bueno i gues i just dont entertain him ,negative
im so hunrgy right now and these hels kil me i can hardly walk in them,negative
both electronic keys stoped working there is no keyhole cant get in my car so much for technology,negative
 yay thre folowers god to know more than one person in this big wide world likes fishies,positive
my name is tony not hey por tony,negative
godmorning,positive
tok a shift tomorow i dont realy fel like working right now,negative
 i love mine to hapy mothers day to your mom john taylor much love to you to ,positive
saw a black snake in the garden went back for a picture and it was gone,neutral
htptwitpicom we bought ludi her own rug dogs are the best,positive
no waterfront anymore facia luna and clarendon wil have to do,negative
loves her mum very much hapy mothers day to al the wonderful mothers out there,positive
sliped up and caught the flu feling like pop,negative
i have an urge to play wow but i have to wait weks til im at my dads til mcfly im so excited l,positive
ok the pasengers no one is alive theyre al dead you just dont know it til the end then you cry ,negative
discovered and are sharing on g reader with me and didnt even know it sigh im such a g reader newb,neutral
is chiled out tonite so canot spew venom or write funy sems like these are the only styles she has,neutral
 if u do please pray me lord knows i ned it,neutral
aw i want to live in the usa,neutral
morning tweple,positive
 hey i didnt get any ,neutral
 now you only have hours to slep rest if you ned it,positive
 that makes my day so much beter its ben a rough one did i mention i love the new photo,neutral
i dont want to sit at home on prom night someone hang out with me,negative
is heading home from fot surgery and wishing she had a boyfriend to come over and cudle with,positive
concert tonight chackin out and not coming tomorow,neutral
 what hapened i thought you were coming back today,neutral
 lol damit wel then next time then,negative
 lol just dont ever forget me,positive
 stil jealous,negative
me at forever ethan couldnt be there,negative
now im sad but im not giving in firsti didnt do nothing ,negative
this wek of mine was not easy but finaly its over ,negative
 wow what a beautiful picture and by the wayi am straightjust wanted to let you know bela,positive
in arch drawing checking out mvcs cad degre loks god to me,positive
 there are people and then there are pencils some are sharp some are not and some can be sharpened my pencil philosophy,neutral
just about to go home im usualy mr positive but this has ben one of those daze wel mins until tomorow,neutral
 but you always have le lets go to paris,neutral
 you know you want to come kep me company whilst mums at her friends for the night its such a nice evening,positive
coking with my dad having lots of fun in the kitchen together,positive
bouncing rush makes me fel nauseous,negative
of to wolsery this morning to hopefuly se north molton clinch the north devon league title lovely day for it,positive
playing singstar without my fave dueter,negative
 youre mising out b im such a cereal nut i think i like every kind available,positive
 thats just weird oh and what was it you were drawing for me,negative
just woke up o mums singing to her new gnr cd replacement i bought because im a god daughter,positive
the birds are out oh man thats not col i didnt slep yet for the night,negative
 miles down only to go thats ok on the radio alwas helps,positive
my stret fighter iv skils are lacking cant beat seth on easy,negative
 fil with col people like me,positive
god morning work and then its espns sunday night basebal hopefuly it wont get rained out,positive
 i think its under a honeymon by the god life either that or its under a honey mon by joseph arthur,neutral
my son got stung by a bug for the first time his litle finger is slightly swolen,negative
 it was hours ago i came in and its only now i realised when i went to buy something online,neutral
 oh just refering to our lil exchange on lj with regards to twiter archive postings,neutral
bumping dj opus in the drunk in the car lmao dont act like u dont know,negative
why kis the fet of the people who kick you when you can be anything that you want to morning everyone hope you have the best day ever,positive
heres a brief preview omg james is crepy in that role im scared of him,negative
im mising crab legs and atending my going away instead,negative
hicks are mean,negative
getn ready to take a trip to jersey my dads not doing so god he neds a new heartwhoeva ses this please say a prayer for my dad,negative
back son ned to run to the shops and cut the gras,neutral
im up i have a plan to transform my bedrom today random,neutral
home until tomorow did my runing and spining now time for chiropractor laundry shoping and visiting family mising nathan,negative
 thats another sponsor,neutral
 and most of us are going to be stuck in an ofice some without windows,negative
 no its not sad should make you proud,negative
 sory wel try to kep it down,negative
is home alone doing hw,neutral
acording to a quarter of families under six live in poverty,negative
the plan to not spend money is not going wel,negative
uploading al my bambozle pictures of facebok,neutral
 congratulations you guys finish a month early than we do bo,positive
 actualy i wish i was back in tahoe i mis it there,negative
